city,name,stars,total_reviews,avg_stars
Brandon,"Chicago Best Burgers",4.5,666,4.5
Brandon,"Jimmy Hula's",3.5,644,3.5
Brandon,"Kobe Japanese Steakhouse - Brandon",4,628,4
Brandon,"Thai Hot",4.5,626,4.5
Brandon,"Fuzzy's Taco Shop",3.5,588,3.5
Brandon,"Romi's Tacos",4,560,4
Brandon,"Jesse's Steak and Seafood",4,534,4
Brandon,"Koizi Endless Hibachi & Sushi Eatery",3,518,3
Brandon,"Bahama Breeze",3.5,516,3.5
Brandon,"Chipotle Mexican Grill",2,502,2
Brandon,"Tres Amigos Cantina",3,498,3
Brandon,"Square 1 Burgers",4,490,4
Brandon,"First Watch",4,486,4
Brandon,"Pho Viet Restaurant",4,486,4
Brandon,"Anthony's Coal Fired Pizza",4,482,4
Brandon,"Stonewood Grill & Tavern",4,480,4
Brandon,"Chicken and Taco Loco",4.5,470,4.5
Brandon,"Thai Chilli Pepper",4.5,468,4.5
Brandon,"Allegria Italiana",4,464,4
Brandon,"Bonefish Grill",4,462,4
Brandon,"Smokey Bones",3,460,3
Brandon,"World of Beer",3.5,454,3.5
Brandon,"Maple Street Biscuit Company - Bloomingdale",4,444,4
Brandon,"Red Robin Gourmet Burgers and Brews",3,416,3
Brandon,"Genghis Grill",3.5,414,3.5
Brandon,"Corner Bakery Cafe",3.5,406,3.5
Brandon,"Thai Legacy Restaurant",4.5,406,4.5
Brandon,"Recipe Box Family Diner",4,400,4
Brandon,"Taste of Berlin German Restaurant",4,400,4
Brandon,"Bawarchi Biryani's",3.5,400,3.5
Brandon,"Jasmine Thai",4,390,4
Brandon,"Taste of India",3.5,386,3.5
Brandon,"Sabor A Mexico",3.5,384,3.5
Brandon,"Miller's Ale House - Brandon",3.5,382,3.5
Brandon,"Tsunami Sushi & Hibachi Grill",4,370,4
Brandon,"South Pacific Grill",5,370,5
Brandon,"La Septima Cafe",4,368,4
Brandon,"The Wooden Spoon Diner",4.5,368,4.5
Brandon,"Mission BBQ",4.5,366,4.5
Brandon,"Sa Ri One Korean BBQ",3.5,362,3.5
Brandon,"Mr and Mrs Crab",4,362,4
Brandon,"Cali Viejo Catering",4,352,4
Brandon,"Lee House",3,346,3
Brandon,"Ploy Thai",4,342,4
Brandon,"Carrabba's Italian Grill",3.5,340,3.5
Brandon,"Olive Garden Italian Restaurant",3,336,3
Brandon,Chili's,2.5,334,2.5
Brandon,"LongHorn Steakhouse",3,332,3
Brandon,"Outback Steakhouse",3.5,330,3.5
Brandon,"Steak ’n Shake",2,328,2
Brandon,"Buffalo Wild Wings",2.5,318,2.5
Brandon,"Tijuana Flats",4,314,4
Brandon,"Hot N Crazy Crab",4.5,312,4.5
Brandon,"Babe's Pizza",3.5,312,3.5
Brandon,"Crafty Crab",3.5,310,3.5
Brandon,"Pizza Rock",4.5,306,4.5
Brandon,"Brandon Pizzeria",3.5,294,3.5
Brandon,"Glory Days Grill",4,294,4
Brandon,"Taqueria Doña Maria",3.5,292,3.5
Brandon,"Wow! That's Fresh",4,288,4
Brandon,"P.F. Chang's",3,284,3
Brandon,"O'Toole's Irish Pub",4,282,4
Brandon,"Romano Restaurant & Bar",4,282,4
Brandon,"Olde Town Pizzeria",3.5,282,3.5
Brandon,"Latin Grill  - Brandon",3.5,278,3.5
Brandon,"Sushi Ninja - Brandon",4,278,4
Brandon,"Red Lobster",2.5,276,2.5
Brandon,"WingHouse Bar & Grill",3,276,3
Brandon,"Campbell's Dairyland",4,256,4
Brandon,"La Cubanita Cafe",4,250,4
Brandon,"Yokohama Japanese Restaurant",4,246,4
Brandon,"Brandon Bagels",4.5,238,4.5
Brandon,BubbaQue's,4,238,4
Brandon,"Pomodoro Pizza & More",4,234,4
Brandon,"PDQ Brandon",4,230,4
Brandon,Chick-fil-A,3,226,3
Brandon,"Romano's Macaroni Grill",2.5,224,2.5
Brandon,"Win Win Asian Kitchen",4,214,4
Brandon,"Ryuu Japanese Steakhouse",3,214,3
Brandon,"Wok Chi",3.5,214,3.5
Brandon,Crispers,3,206,3
Brandon,"More Italian Pizza Bistro",3.5,206,3.5
Brandon,"The Forge Irish Pub",3.5,202,3.5
Brandon,"Tropical Smoothie Cafe",2.5,202,2.5
Brandon,"Lee Roy Selmon's",3.5,202,3.5
Brandon,"Tandoor Indian Cuisine",4.5,200,4.5
Brandon,"Salem's Fresh Eats",3,198,3
Brandon,"Keith's Oaks Bar & Grill",3,186,3
Brandon,"The Mill",4,184,4
Brandon,"Mimi's Cafe",3.5,180,3.5
Brandon,"Silverspoon Pakistani and Indian Restaurant",4,180,4
Brandon,"Chicken & Taco Loco Bar and Grill",3.5,178,3.5
Brandon,"Truly Greek",4.5,178,4.5
Brandon,"Pizza Haven",4.5,174,4.5
Brandon,"O'Brien's Irish Pub & Grill",3.5,174,3.5
Brandon,"Applebee's Grill + Bar",2.5,172,2.5
Brandon,Bolay,4.5,170,4.5
Brandon,"Hole in One Donuts - Brandon",5,170,5
Brandon,"Della's Cafe & Bistro",4,166,4
Brandon,"Just Love Coffee Cafe",4.5,164,4.5
Brandon,"Jersey Mike's Subs",3,162,3
Brandon,BurgerMonger,3.5,160,3.5
Brandon,"Poke Falls - Brandon",4.5,160,4.5
Brandon,"The Rack",2.5,160,2.5
Brandon,"Top's China Buffet",2,150,2
Brandon,"LC's Cafe & Supper Club",5,150,5
Brandon,"Waffle House",4,148,4
Brandon,"JoTo Japanese Steak House",3.5,148,3.5
Brandon,"Duke's Brewhouse",2.5,146,2.5
Brandon,"Aleida's Kitchen",4.5,144,4.5
Brandon,Denny's,3,142,3
Brandon,"Pollo Tropical",2,140,2
Brandon,"Village Inn",3,138,3
Brandon,"Takara Sushi",4,134,4
Brandon,"Vallarta's Mexican Restaurant",2.5,134,2.5
Brandon,"Your Pie - Brandon",4.5,132,4.5
Brandon,"Moe's Southwest Grill",2.5,132,2.5
Brandon,"Shrimp Boat",4,130,4
Brandon,"Taza Mediterranean Grill",4.5,130,4.5
Brandon,"Poblanos Mexican Grill & Bar",2.5,130,2.5
Brandon,"Mahana Fresh",3.5,128,3.5
Brandon,"Sumatra Cafe & Bakery LLC",4,124,4
Brandon,"Thai Boat Restaurant",4.5,124,4.5
Brandon,"Einstein Bros. Bagels",2.5,122,2.5
Brandon,"China One",3.5,120,3.5
Brandon,"Buca di Beppo",3.5,116,3.5
Brandon,"Jet's Pizza",3.5,116,3.5
Brandon,"Taco Bell",2,114,2
Brandon,"Hokulia Shave Ice",4.5,110,4.5
Brandon,"Golden Corral Buffet & Grill",2.5,110,2.5
Brandon,"Times Square Pizza Company",3.5,110,3.5
Brandon,"Mugs 'N Jugs",2,108,2
BRANDON,IHOP,2.5,108,2.5
Brandon,"Popeyes Louisiana Kitchen",2,108,2
Brandon,"Pita's Republic",4,108,4
Brandon,Wingstop,2.5,108,2.5
Brandon,"Panera Bread",3,106,3
Brandon,Chick-fil-A,4,106,4
Brandon,"Osaka Sushi",4,104,4
Brandon,"AL Madina",5,102,5
Brandon,"Tropical Rhythm",3.5,102,3.5
Brandon,"YoYo Juice",4.5,100,4.5
Brandon,McDonald's,1.5,98,1.5
Brandon,"China Express",3.5,98,3.5
Brandon,"Ichiban Buffet",3,98,3
Brandon,"Mama's Soul Food Restaurant",4,96,4
Brandon,"Holy Hog Barbecue",3.5,96,3.5
Brandon,"India's Grill Brandon - Authentic Indian Cuisine",4.5,94,4.5
Brandon,"Bens Family Diner",2.5,94,2.5
Brandon,"Brandon Martini Live",2.5,92,2.5
Brandon,"California Pizza Kitchen",3.5,90,3.5
Brandon,"Green Iguana Bar & Grill",2.5,88,2.5
Brandon,"Boston Market",2.5,86,2.5
Brandon,"Lunas Mexican Restaurant",2.5,86,2.5
Brandon,"Tropical Smoothie Cafe",2,84,2
Brandon,"Irie Bay Jamaican Cuisine",3,84,3
Brandon,Pholicious,2.5,82,2.5
Brandon,"Chicken Salad Chick",4,82,4
Brandon,"Sonic Drive-In",2.5,80,2.5
Brandon,"Down To the Bone Bbq & Catering",3.5,80,3.5
Brandon,"Ling Express",3.5,78,3.5
Brandon,"Keke's Breakfast Cafe",3,76,3
Brandon,McDonald's,2,76,2
Brandon,"Hamburger Mary's",3,76,3
Brandon,"Chick-N-Bones Cafe & Catering",4,72,4
Brandon,"Firehouse Subs",2.5,70,2.5
Brandon,"Beef 'O' Brady's",3.5,68,3.5
Brandon,"Westshore Pizza",3,68,3
Brandon,"Sluggers Neighborhood Bar & Grill",3.5,66,3.5
Brandon,"La Cocinita Cubana",4.5,66,4.5
Brandon,"First Watch",3.5,66,3.5
Brandon,"Mr Hummus",5,66,5
Brandon,GrillSmith,4,66,4
Brandon,"Big City Grill",3,64,3
Brandon,"Alfredo's Italian Cuisine",4,64,4
Brandon,"Domino's Pizza",2.5,64,2.5
Brandon,"Chuck E. Cheese",2.5,64,2.5
Brandon,"Jimmy John's",3,64,3
Brandon,"Panda Express",2.5,62,2.5
Brandon,"Latin Bowl Restaurant-Brandon ",5,62,5
Brandon,Chopsticks,2.5,60,2.5
Brandon,"Martin's Indian Cuisine",4.5,60,4.5
Brandon,"Lin's Garden",3.5,60,3.5
Brandon,"Sinigual Contemporary Mexican  Cuisine",3.5,60,3.5
Brandon,"Barnacles Restaurant",2.5,60,2.5
Brandon,"Hot Wok",3.5,58,3.5
Brandon,"Publix Super Markets",4,58,4
Brandon,"Burger King",1.5,58,1.5
Brandon,"Dairy Queen",3,58,3
Brandon,"Westshore Pizza",2.5,58,2.5
Brandon,Cicis,2.5,56,2.5
Brandon,"Victorian Grace",3.5,56,3.5
Brandon,"Thai Smiles",4,56,4
Brandon,"Marco's Pizza",3,54,3
Brandon,"Estela's Mexican Restaurant",2,54,2
Brandon,Checkers,2,54,2
Brandon,"Taco Rey",3,54,3
Brandon,"Neighborhood Bistro",4,54,4
Brandon,"Moe's Southwest Grill",1.5,54,1.5
Brandon,"Mai Thai Restaurant",4.5,54,4.5
Brandon,"Aussie Grill - Brandon",4,52,4
Brandon,"Philly Phlava Cheese Steaks",3.5,52,3.5
Brandon,"Ho Ho Chinese Restaurant",3,52,3
Brandon,"Bin + Board",4.5,52,4.5
Brandon,"QDOBA Mexican Eats",3.5,52,3.5
Brandon,"Papa John's Pizza",2.5,52,2.5
Brandon,"Dragon City",2.5,50,2.5
Brandon,"Mis Antojitos Mexicanos",4,48,4
Brandon,"Brandon Burgers",3.5,48,3.5
Brandon,"Asiana Bistro",4.5,48,4.5
Brandon,"Five Guys",4.5,48,4.5
Brandon,"Fox and Hounds British Pub",3.5,48,3.5
Brandon,"Gyros & Seafood Express",3.5,46,3.5
Brandon,"Five Guys",4,46,4
Brandon,"Brandon Vegan Deli",4.5,46,4.5
Brandon,"Tasty Venues",4.5,44,4.5
Brandon,Dunkin',2.5,44,2.5
Brandon,"Honey Baked Ham Company",4,42,4
Brandon,"Sabor a Peru",4,42,4
Brandon,"S Bar",4.5,42,4.5
Brandon,Culver's,3,42,3
Brandon,"Baluka Billiards & Lounge",3,40,3
Brandon,"Taste of Eden Bistro",4.5,40,4.5
Brandon,"Hawk N Hog",4,40,4
Brandon,Wendy's,2,38,2
Brandon,"The Shrimp Warehouse",2.5,36,2.5
Brandon,"La Familia Latin Hot Food & Grocery",4,36,4
Brandon,"Saigon Corner",4,36,4
Brandon,"Pizza Hut",2.5,36,2.5
Brandon,"Latin Touch Spanish Grocery",5,34,5
Brandon,"Copper Bell Cafe",4,34,4
Brandon,Wawa,3,34,3
Brandon,"Kabuki Japanese Restaurant",3.5,34,3.5
Brandon,Giordano's,3,34,3
Brandon,"AL Madina Grocery & Deli",4.5,34,4.5
Brandon,"taqueria la cañada",5,34,5
Brandon,"Seafood Dive",3.5,32,3.5
Brandon,"Osaka Ramen & Sushi",4,32,4
Brandon,"Burger King",2.5,32,2.5
Brandon,"Oyishi Buffet",3,30,3
Brandon,"Euro Cafe Deli & Grocer",4.5,30,4.5
Brandon,"Brandon Meats & Market",2.5,28,2.5
Brandon,"Hungry Howie's Pizza & Subs",3,28,3
Brandon,Chick-fil-A,3.5,28,3.5
Brandon,"Aussie Grill",3.5,28,3.5
Brandon,"Long John Silver's",3.5,28,3.5
Brandon,"Tias Tex Mex",2.5,28,2.5
Brandon,"Beef O Brady’s",4,26,4
Brandon,"Auntie Anne's Pretzels",3,26,3
Brandon,"Taco Bell",2.5,26,2.5
Brandon,"Papa Murphy's",4.5,24,4.5
Brandon,Tadpoles,3.5,24,3.5
Brandon,"Red Fork Cafe",3.5,24,3.5
Brandon,Burgerim,2.5,24,2.5
Brandon,"Burger King",2,22,2
Brandon,"European Flavors",5,22,5
Brandon,"Old Chicago",3.5,22,3.5
Brandon,"Philly Grill",3,22,3
Brandon,"Hungry Howie's Pizza & Subs",2,22,2
Brandon,Subway,3,22,3
Brandon,"Perry's Bbq",3.5,20,3.5
Brandon,"The Blind Tiger Cafe - Brandon Mall",4.5,20,4.5
Brandon,"Sakura Asian Cuisine",4.5,20,4.5
Brandon,"Little Caesar's Pizza",1.5,20,1.5
Brandon,"Charleys Philly Steak",2.5,20,2.5
Brandon,"Pho 60",4,20,4
Brandon,"Miller's Ale House - Allentown",3,20,3
Brandon,"Hey Mon Caribbean Cooking Magic",3.5,18,3.5
Brandon,"Yucatan Live Bar & Grill",3,18,3
Brandon,Mintwist,5,18,5
Brandon,"Publix Super Markets",3.5,18,3.5
Brandon,"Astoria Café",2.5,16,2.5
Brandon,KFC,2,16,2
Brandon,"The House Of The Cuban Sandwich",4.5,16,4.5
Brandon,"Simply Thai Restaurant",4.5,14,4.5
Brandon,"Taqueria Y Antojitos La Poblanita",4.5,14,4.5
Brandon,Cherry's,2,14,2
Brandon,"Bagelicious and More",3.5,14,3.5
Brandon,"MrBeast Burger",3.5,14,3.5
Brandon,"Wayne Lee, MD",5,14,5
Brandon,"Big Belly Burgers",3.5,14,3.5
Brandon,"European Gourmet Deli & Grocer",4.5,14,4.5
Brandon,"Angelina's Italian Restaurant",1.5,14,1.5
Brandon,"Knish King",4.5,14,4.5
Brandon,"Tienda Mexicana El Mercadito",4.5,12,4.5
Brandon,"Seabreeze by the Bay",2.5,12,2.5
Brandon,"Latin Cafe 2000",3,12,3
Brandon,"Castle Creole",4,12,4
Brandon,"Tropical Smoothie Cafe",3,12,3
Brandon,"Squirrels Kitchen BBQ",2.5,10,2.5
Brandon,"Little Caesar's Pizza",4,10,4
Brandon,"J & R’s Pizzeria",4.5,10,4.5
Brandon,"Cheer Counseling",1,10,1
Brandon,"La Cocina de Cris",5,10,5
Brandon,"Juice Market",3.5,10,3.5
Brandon,"All About Salads",2,10,2
Brandon,"General 1",3,10,3
Brandon,Villa,2,10,2
Brandon,"Time Out Neighborhood Pub & Grub",2.5,10,2.5
Brandon,"Al’s Barn",5,10,5
Brandon,"Julios Latin Grill",4.5,10,4.5
Carrollwood,"Applebee's Grill + Bar",2.5,166,2.5
Carrollwood,Chick-fil-A,3.5,94,3.5
Carrollwood,SoFresh,4,20,4
"Citrus Park","BJ's Restaurant & Brewhouse",3.5,582,3.5
"Citrus Park","Carrabba's Italian Grill",3.5,194,3.5
Clearwater,"Clear Sky Cafe",4.5,3648,4.5
Clearwater,"Lenny's Restaurant",4.5,1984,4.5
Clearwater,"Cristino's Coal Oven Pizza",4.5,1872,4.5
Clearwater,"Pearly's Beach Eats",4.5,1728,4.5
Clearwater,"Rumba Island Bar & Grill",4,1542,4
Clearwater,"Island Way Grill",3.5,1474,3.5
Clearwater,"Bascom's Chop House",4,1210,4
Clearwater,"Badfins Food + Brew",4,1186,4
Clearwater,"Cafe Ponte",4.5,1082,4.5
Clearwater,"Wildflower Cafe",4.5,1038,4.5
Clearwater,"Salt Cracker Fish Camp",4,966,4
Clearwater,"Saki Endless Sushi & Hibachi Eatery",3.5,946,3.5
Clearwater,"Gondolier Italian Restaurant and Pizza",4,932,4
Clearwater,"Smokey Bones",3.5,846,3.5
Clearwater,"Mellow Mushroom - Clearwater",4,814,4
Clearwater,"Basimo Beach Cafe",4,784,4
Clearwater,"Green Mint Asian Grill",4,776,4
Clearwater,"Ken Sushi & Asian Bistro",4.5,770,4.5
Clearwater,"Jimmy Hula's",4,720,4
Clearwater,"Beach Shanty Cafe",4,714,4
Clearwater,"Spotted Donkey Cantina",3.5,702,3.5
Clearwater,"Clear Sky on Cleveland",4.5,700,4.5
Clearwater,"Surfside Taphouse",3.5,668,3.5
Clearwater,"Pierogi Grill",4,666,4
Clearwater,"Cesare's  At The Beach",4.5,662,4.5
Clearwater,"Another Broken Egg Cafe",4,652,4
Clearwater,"Asian Pearl",4,642,4
Clearwater,"Joe's Crab Shack",3,636,3
Clearwater,"Crispy Cajun",4,634,4
Clearwater,"Mirage Restaurant",4.5,634,4.5
Clearwater,"Flying With Jerome",4.5,626,4.5
Clearwater,"Hacienda Corralejo Mexican Kitchen",4.5,618,4.5
Clearwater,"The Little Lamb",4.5,614,4.5
Clearwater,"Blinkers Beachside",4,588,4
Clearwater,"Grillsmith - Countryside",4,586,4
Clearwater,Nauti-Nancy's,4.5,554,4.5
Clearwater,"SHOR American Seafood Grill",4,552,4
Clearwater,"BJ's Restaurant & Brewhouse",3.5,548,3.5
Clearwater,"Big Storm Brewery- Clearwater",4,546,4
Clearwater,"Deccan Spice",4,536,4
Clearwater,"Pan Filo's",4,536,4
Clearwater,"Papa's New York Diner",4,532,4
Clearwater,"Paul's Chicago Pizza",4,530,4
Clearwater,"Ford's Garage",3.5,526,3.5
Clearwater,"East Bistro - The Mediterranean Eatery",4.5,518,4.5
Clearwater,"Chopsticks Super Buffet",3,510,3
Clearwater,"Extreme Pizza - Clearwater Beach",3.5,508,3.5
Clearwater,"Speggtacular Clearwater Beach",4,496,4
Clearwater,"Indian Bistro",4,482,4
Clearwater,"P.F. Chang's",3,474,3
Clearwater,"Pete & Shorty's Tavern",3.5,468,3.5
Clearwater,"Tequila's Mexican Grill & Cantina",3.5,456,3.5
Clearwater,"Anthony's Coal Fired Pizza",4,454,4
Clearwater,"Pho Queen",3.5,448,3.5
Clearwater,"King's Pizza",4,448,4
Clearwater,"Kobe Japanese Steakhouse - Clearwater",4,442,4
Clearwater,"Coco's Crush Bar and Grill",4,440,4
Clearwater,"Mana Mana Middle Eastern Restaurant",4.5,436,4.5
Clearwater,"Johnny's Italian Restaurant",3.5,436,3.5
Clearwater,"Skyline Chili",4,426,4
Clearwater,"Hamburger Mary's",3.5,416,3.5
Clearwater,"Toucans Bar & Grill",3,416,3
Clearwater,"Tin Can Cafe",4.5,414,4.5
Clearwater,"Bonefish Grill",3.5,414,3.5
Clearwater,"Russo's New York Pizzeria - Clearwater",3.5,414,3.5
Clearwater,"Taco Bar",4,414,4
Clearwater,"Pico Rojo",4.5,412,4.5
Clearwater,Hooters,3,412,3
Clearwater,"Bumpa's Seafood",3.5,412,3.5
Clearwater,"Ban Thai and Sushi Restaurant",4,408,4
Clearwater,"Abe's Place Tap & Grill",4,406,4
Clearwater,Kpicu,5,406,5
Clearwater,"Quaker Steak & Lube",3.5,404,3.5
Clearwater,"Applebee's Grill + Bar",2.5,400,2.5
Clearwater,"Taziki's Mediterranean Cafe - Clearwater",4,396,4
Clearwater,"The Breakroom Bar & Grill",4.5,386,4.5
Clearwater,"Umai Cafe",4.5,384,4.5
Clearwater,"Bollywood Spice Indian Cuisine",3.5,384,3.5
Clearwater,"Ryan's Island Cafe",4.5,380,4.5
Clearwater,"Poblanos Mexican Grill & Bar",3,378,3
Clearwater,"Chipotle Mexican Grill",2.5,374,2.5
Clearwater,"Cheddar's Scratch Kitchen",3.5,372,3.5
Clearwater,"Sunset Grill",4,370,4
Clearwater,"La Mordida Restaurant Bar & Grill",4.5,356,4.5
Clearwater,Hooters,2.5,356,2.5
Clearwater,"Newk's Eatery",4,356,4
Clearwater,"Nature's Food Patch Market & Café",4.5,354,4.5
Clearwater,"Frankie's Patriot BBQ",4,350,4
Clearwater,"Red Robin Gourmet Burgers and Brews",3.5,350,3.5
Clearwater,"1933 Pub & Grill",4,348,4
Clearwater,"La Pollera Colorada",4.5,346,4.5
Clearwater,"Bros Pizzeria",4,344,4
Clearwater,"Taco Bus",4,336,4
Clearwater,"First Watch",4,330,4
Clearwater,"Carrabba's Italian Grill",3.5,328,3.5
Clearwater,"Thai Coconut and Sushi",3.5,322,3.5
Clearwater,"Matjoa Korean BBQ",4.5,320,4.5
Clearwater,"O'Keefe's Tavern",4,320,4
Clearwater,"Cuvée 103",4.5,320,4.5
Clearwater,"La Cabaña Del Tio",4,320,4
Clearwater,"Saigon Bowl",4.5,318,4.5
Clearwater,"Burger Monger",3.5,310,3.5
Clearwater,"Villa Bellini Restaurant & Lounge",3.5,304,3.5
Clearwater,"Little Greek Fresh Grill",4,298,4
Clearwater,"Bar Louie",3.5,294,3.5
Clearwater,"WingHouse Bar & Grill",3.5,292,3.5
Clearwater,"Don Pancho Villa",4.5,290,4.5
Clearwater,"Besa Grill",3.5,288,3.5
Clearwater,"Clearwater Oyster Company",4.5,288,4.5
Clearwater,"Bangkok Fusion Cafe",4.5,286,4.5
Clearwater,"Grimaldi's Pizzeria",3.5,284,3.5
Clearwater,"Siam Thai & Sushi",4.5,284,4.5
Clearwater,"Greek City Cafe",4,282,4
Clearwater,"LongHorn Steakhouse",3.5,282,3.5
Clearwater,"Kobe Italian",3.5,280,3.5
Clearwater,"First Watch",4.5,278,4.5
Clearwater,Sandbar,4.5,278,4.5
Clearwater,"Pickles Plus",4,276,4
Clearwater,"Ristorante Acqua Alta",4.5,276,4.5
Clearwater,"Kara Lynn's Kitchen",4.5,272,4.5
Clearwater,"Caffeinated Bakery",4.5,270,4.5
Clearwater,"Yanny's Restaurant",4,268,4
Clearwater,"El Huarache Azteca",4,262,4
Clearwater,"Elizabeth's Gourmet Delights",4.5,258,4.5
Clearwater,"Mugs Sports Bar & Grill",3,254,3
Clearwater,"Buffalo Wild Wings",2.5,252,2.5
Clearwater,"Famous Greek Salads",4.5,250,4.5
Clearwater,"Green Market Cafe",3.5,250,3.5
Clearwater,"Tasty Thai",4.5,248,4.5
Clearwater,"Pho Bowl",4.5,248,4.5
Clearwater,"Poppa's BBQ",4.5,248,4.5
Clearwater,"Clearwater Bagels",3.5,244,3.5
Clearwater,"Cody's Original Roadhouse",2.5,242,2.5
Clearwater,"Boardwalk Pizza and Gyros",4,242,4
Clearwater,"Thai Spice Restaurant",4,240,4
Clearwater,"Sea Dog Brewing - Clearwater",3,238,3
Clearwater,"Felice Italian Pork & Delicatessen",4.5,238,4.5
Clearwater,"Steak ’n Shake",2.5,236,2.5
Clearwater,"Sofia's Greek Grill",4.5,232,4.5
Clearwater,"Cracker Barrel Old Country Store",3,232,3
Clearwater,"Mike's Pizza & Deli Station",3.5,224,3.5
Clearwater,"Manos Bakery Cafe",4.5,224,4.5
Clearwater,"Sports Legends Bar & Grill",3.5,222,3.5
Clearwater,"Calypso Queen Tropical Cruise",3.5,222,3.5
Clearwater,"Oriental Super Buffet",3,220,3
Clearwater,"Mity Nice Cafe",4,218,4
Clearwater,"Ocean Blue Sushi",4,216,4
Clearwater,"Duff's Buffet",4,214,4
Clearwater,"Hot Sake Sushi & Asian",4.5,214,4.5
Clearwater,"Country Skillet",4,208,4
Clearwater,IHOP,3,208,3
Clearwater,"Jason's Deli",3.5,208,3.5
Clearwater,"Ward's Seafood Market",4,208,4
Clearwater,"Bangkok Tokyo Restaurant",4.5,208,4.5
Clearwater,"Karma Juice Bar & Eatery",4.5,204,4.5
Clearwater,"Sushi Tu",4.5,200,4.5
Clearwater,"Rizzoli's Pizza",4,200,4
Clearwater,"Outpost 611 Eatery & Taphouse",4.5,198,4.5
